"{'op': 'sgd', 'lo': 'sparse_categorical_crossentropy', 'nn': 256, 'dim': (224, 224)}","[0.3864329159259796, 0.5449694991111755, 0.6387194991111755, 0.6120426654815674, 0.7217987775802612, 0.7515243887901306, 0.8368902206420898, 0.7583841681480408, 0.5213414430618286, 0.5205792784690857]","[0.5704225301742554, 0.6338028311729431, 0.6690140962600708, 0.6830986142158508, 0.7183098793029785, 0.7323943376541138, 0.7323943376541138, 0.7676056623458862, 0.6690140962600708, 0.6690140962600708]"
"{'op': 'sgd', 'lo': 'sparse_categorical_crossentropy', 'nn': 256, 'dim': (224, 224)}","[0.36051830649375916, 0.5625, 0.6341463327407837, 0.625, 0.6173780560493469, 0.4672256112098694, 0.30640244483947754, 0.35975611209869385, 0.45121949911117554, 0.43292683362960815]","[0.5633803009986877, 0.22535210847854614, 0.5352112650871277, 0.6267605423927307, 0.6549295783042908, 0.6126760840415955, 0.577464759349823, 0.6690140962600708, 0.6056337952613831, 0.7183098793029785]"
"{'op': 'sgd', 'lo': 'sparse_categorical_crossentropy', 'nn': 256, 'dim': (224, 224)}","[0.41920730471611023, 0.5099085569381714, 0.5685975551605225, 0.6463414430618286, 0.7042682766914368, 0.7522866129875183, 0.8544207215309143, 0.8971036672592163, 0.9664633870124817, 0.9900914430618286]","[0.6666666865348816, 0.4893617033958435, 0.716312050819397, 0.673758864402771, 0.6382978558540344, 0.695035457611084, 0.716312050819397, 0.631205677986145, 0.73758864402771, 0.7446808218955994]"
"{'op': 'sgd', 'lo': 'sparse_categorical_crossentropy', 'nn': 256, 'dim': (224, 224)}","[0.46417683362960815, 0.6341463327407837, 0.5762194991111755, 0.5617377758026123, 0.6836889982223511, 0.6913110017776489, 0.5914633870124817, 0.5998475551605225, 0.7492377758026123, 0.7362805008888245]","[0.6453900933265686, 0.716312050819397, 0.6382978558540344, 0.7021276354789734, 0.6808510422706604, 0.38297873735427856, 0.7234042286872864, 0.6808510422706604, 0.7234042286872864, 0.7659574747085571]"
"{'op': 'sgd', 'lo': 'sparse_categorical_crossentropy', 'nn': 256, 'dim': (224, 224)}","[0.37804877758026123, 0.5259146094322205, 0.48246949911117554, 0.5998475551605225, 0.7400914430618286, 0.6966463327407837, 0.5945122241973877, 0.5060975551605225, 0.6737805008888245, 0.7599085569381714]","[0.6666666865348816, 0.39007091522216797, 0.6808510422706604, 0.6666666865348816, 0.6595744490623474, 0.7234042286872864, 0.609929084777832, 0.631205677986145, 0.73758864402771, 0.42553192377090454]"
"{'op': 'sgd', 'lo': 'sparse_categorical_crossentropy', 'nn': 512, 'dim': (224, 224)}","[0.4146341383457184, 0.5, 0.5625, 0.7111280560493469, 0.8170731663703918, 0.9032012224197388, 0.8772866129875183, 0.9557926654815674, 0.9916158318519592, 0.9961889982223511]","[0.11267605423927307, 0.6408450603485107, 0.4507042169570923, 0.5492957830429077, 0.7535211443901062, 0.7112675905227661, 0.7323943376541138, 0.7112675905227661, 0.7535211443901062, 0.7323943376541138]"
"{'op': 'sgd', 'lo': 'sparse_categorical_crossentropy', 'nn': 512, 'dim': (224, 224)}","[0.42073169350624084, 0.6166158318519592, 0.7012194991111755, 0.7454268336296082, 0.7057926654815674, 0.7370426654815674, 0.7766768336296082, 0.823932945728302, 0.8666158318519592, 0.9092987775802612]","[0.7112675905227661, 0.5352112650871277, 0.7183098793029785, 0.6971830725669861, 0.7535211443901062, 0.7042253613471985, 0.6478873491287231, 0.7464788556098938, 0.7816901206970215, 0.7605633735656738]"
"{'op': 'sgd', 'lo': 'sparse_categorical_crossentropy', 'nn': 512, 'dim': (224, 224)}","[0.35899388790130615, 0.5320122241973877, 0.6600610017776489, 0.5617377758026123, 0.4992378056049347, 0.6295731663703918, 0.65625, 0.8483231663703918, 0.636432945728302, 0.6295731663703918]","[0.26950353384017944, 0.6453900933265686, 0.6879432797431946, 0.716312050819397, 0.5815602540969849, 0.6595744490623474, 0.7659574747085571, 0.73758864402771, 0.4893617033958435, 0.6808510422706604]"
"{'op': 'sgd', 'lo': 'sparse_categorical_crossentropy', 'nn': 512, 'dim': (224, 224)}","[0.38033536076545715, 0.5297256112098694, 0.7134146094322205, 0.6814024448394775, 0.5708841681480408, 0.6410061120986938, 0.6814024448394775, 0.8102133870124817, 0.5625, 0.7164633870124817]","[0.6666666865348816, 0.6453900933265686, 0.631205677986145, 0.7446808218955994, 0.6666666865348816, 0.6382978558540344, 0.652482271194458, 0.43971630930900574, 0.609929084777832, 0.7730496525764465]"
"{'op': 'sgd', 'lo': 'sparse_categorical_crossentropy', 'nn': 512, 'dim': (224, 224)}","[0.46341463923454285, 0.5487805008888245, 0.5746951103210449, 0.5785061120986938, 0.5769817233085632, 0.7378048896789551, 0.823932945728302, 0.8307926654815674, 0.8780487775802612, 0.9496951103210449]","[0.4822694957256317, 0.6170212626457214, 0.631205677986145, 0.609929084777832, 0.716312050819397, 0.6879432797431946, 0.6028369069099426, 0.716312050819397, 0.73758864402771, 0.7234042286872864]"
"{'op': 'sgd', 'lo': 'sparse_categorical_crossentropy', 'nn': 1024, 'dim': (224, 224)}","[0.49390244483947754, 0.6775914430618286, 0.7881097793579102, 0.9131097793579102, 0.9710366129875183, 0.9908536672592163, 1.0, 1.0, 1.0, 1.0]","[0.6619718074798584, 0.6619718074798584, 0.7323943376541138, 0.7464788556098938, 0.7676056623458862, 0.7676056623458862, 0.7887324094772339, 0.7816901206970215, 0.7887324094772339, 0.7887324094772339]"
