"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5, 0.5, 0.5076335668563843, 0.6374045610427856, 0.6851145029067993, 0.7919847369194031, 0.8492366671562195, 0.8454198241233826, 0.847328245639801, 0.8377862572669983, 0.8702290058135986, 0.8530534505844116, 0.8454198241233826, 0.8893129825592041, 0.8549618124961853]","[0.4159291982650757, 0.4159291982650757, 0.5486725568771362, 0.5486725568771362, 0.6814159154891968, 0.8495575189590454, 0.8938053250312805, 0.8495575189590454, 0.8230088353157043, 0.7876105904579163, 0.8938053250312805, 0.6814159154891968, 0.9380530714988708, 0.8584070801734924, 0.9115044474601746]","[0.6836304664611816, 0.6717882752418518, 0.6552103161811829, 0.6249677538871765, 0.5828430652618408, 0.5316588878631592, 0.4889790117740631, 0.4626603126525879, 0.42399388551712036, 0.415824830532074, 0.3450527489185333, 0.3540983200073242, 0.3734654188156128, 0.2874743640422821, 0.35272160172462463]","[0.6888001561164856, 0.6725121140480042, 0.6446939706802368, 0.6189245581626892, 0.5682010054588318, 0.575350284576416, 0.4520685076713562, 0.42100033164024353, 0.44488582015037537, 0.456983357667923, 0.29654672741889954, 0.7356968522071838, 0.22759191691875458, 0.29984596371650696, 0.23277245461940765]",0.8873239159584045,0.27127498388290405
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5, 0.5, 0.5038167834281921, 0.5839694738388062, 0.5648854970932007, 0.6564885377883911, 0.7652671933174133, 0.8167939186096191, 0.8339694738388062, 0.805343508720398, 0.8511450290679932, 0.864503800868988, 0.8568702340126038, 0.8396946787834167, 0.885496199131012]","[0.4159291982650757, 0.4159291982650757, 0.4159291982650757, 0.4159291982650757, 0.5486725568771362, 0.9380530714988708, 0.9115044474601746, 0.6725663542747498, 0.8495575189590454, 0.9292035102844238, 0.9292035102844238, 0.76106196641922, 0.8141592741012573, 0.9557521939277649, 0.9115044474601746]","[0.6913597583770752, 0.6869240403175354, 0.6816664934158325, 0.6703405380249023, 0.6509031653404236, 0.6193549036979675, 0.5737617015838623, 0.5222011804580688, 0.4812949299812317, 0.46444228291511536, 0.3956553637981415, 0.35650405287742615, 0.3625853955745697, 0.35953593254089355, 0.27657824754714966]","[0.6916434168815613, 0.6884129047393799, 0.682799220085144, 0.6800174713134766, 0.6504102945327759, 0.6257131695747375, 0.5535310506820679, 0.6500849723815918, 0.4690525233745575, 0.3452833592891693, 0.3014097213745117, 0.4385188817977905, 0.3678891658782959, 0.2213497906923294, 0.2709541618824005]",0.922535240650177,0.25767216086387634
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5209923386573792, 0.5, 0.5, 0.5019084215164185, 0.5038167834281921, 0.5591602921485901, 0.6240457892417908, 0.7290076613426208, 0.8339694738388062, 0.8492366671562195, 0.8625954389572144, 0.8835877776145935, 0.7977099418640137, 0.8988549709320068, 0.8683205842971802]","[0.4159291982650757, 0.4159291982650757, 0.4159291982650757, 0.4159291982650757, 0.4690265357494354, 0.5309734344482422, 0.5663716793060303, 0.9026548862457275, 0.8407079577445984, 0.769911527633667, 0.8938053250312805, 0.7433628439903259, 0.9026548862457275, 0.7345132827758789, 0.8407079577445984]","[0.6918050646781921, 0.687191367149353, 0.6816803216934204, 0.6738096475601196, 0.6622624397277832, 0.6411952972412109, 0.6116719245910645, 0.5640429258346558, 0.5211105942726135, 0.4645697772502899, 0.40131932497024536, 0.3529821038246155, 0.4600032567977905, 0.3018789291381836, 0.30064070224761963]","[0.6919612288475037, 0.6900809407234192, 0.6874831914901733, 0.6840131878852844, 0.6729365587234497, 0.6570143699645996, 0.6324788928031921, 0.5824996829032898, 0.5219818949699402, 0.5394054055213928, 0.3872378468513489, 0.4890679121017456, 0.32712095975875854, 0.5327649116516113, 0.44277799129486084]",0.8802816867828369,0.560222327709198
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.6653992533683777, 0.5, 0.5, 0.5038022994995117, 0.5646387934684753, 0.6425855755805969, 0.73384028673172, 0.8098859190940857, 0.8441064357757568, 0.8859315514564514, 0.7680608630180359, 0.8973383903503418, 0.8498098850250244, 0.8669201731681824, 0.8631178736686707]","[0.4247787594795227, 0.4247787594795227, 0.4247787594795227, 0.44247788190841675, 0.4690265357494354, 0.5309734344482422, 0.5398229956626892, 0.8141592741012573, 0.8318583965301514, 0.752212405204773, 0.8318583965301514, 0.6548672318458557, 0.8761062026023865, 0.6902654767036438, 0.8761062026023865]","[0.6910412311553955, 0.6858823299407959, 0.6798875331878662, 0.6702640652656555, 0.6510666608810425, 0.6179603338241577, 0.571861982345581, 0.5244876742362976, 0.4731590151786804, 0.3833996653556824, 0.5012013912200928, 0.3135480284690857, 0.3650204837322235, 0.3773638904094696, 0.33915314078330994]","[0.6925156712532043, 0.6899000406265259, 0.6883584260940552, 0.6767929196357727, 0.6629852652549744, 0.6419388055801392, 0.6380235552787781, 0.52706378698349, 0.48861566185951233, 0.5015093088150024, 0.4229164719581604, 0.7053435444831848, 0.29574844241142273, 0.8382315635681152, 0.30654358863830566]",0.9154929518699646,0.25147929787635803
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5380228161811829, 0.5, 0.5057034492492676, 0.536121666431427, 0.608364999294281, 0.7490494251251221, 0.8079847693443298, 0.7870722413063049, 0.7927756905555725, 0.7813687920570374, 0.838403046131134, 0.8802281618118286, 0.8612167239189148, 0.8536121845245361, 0.8707224130630493]","[0.4247787594795227, 0.4247787594795227, 0.4247787594795227, 0.47787609696388245, 0.8318583965301514, 0.8672566413879395, 0.5929203629493713, 0.9292035102844238, 0.8938053250312805, 0.7433628439903259, 0.8584070801734924, 0.9115044474601746, 0.9380530714988708, 0.8672566413879395, 0.9292035102844238]","[0.6923264265060425, 0.6868473887443542, 0.6801186800003052, 0.6670076847076416, 0.6439368724822998, 0.6049532890319824, 0.5510795712471008, 0.5025843381881714, 0.47253361344337463, 0.45985475182533264, 0.407081663608551, 0.3001464009284973, 0.35670655965805054, 0.3454250693321228, 0.3082211911678314]","[0.6912524700164795, 0.6880883574485779, 0.6823152303695679, 0.6668525338172913, 0.6345316767692566, 0.5801106691360474, 0.5985246300697327, 0.40108048915863037, 0.39404571056365967, 0.48984816670417786, 0.34810012578964233, 0.2248733937740326, 0.22589847445487976, 0.30337631702423096, 0.20117123425006866]",0.908450722694397,0.24833963811397552
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5877862572669983, 0.8568702340126038, 0.8950381875038147, 0.9332060813903809, 0.8835877776145935, 0.919847309589386, 0.9064885377883911, 0.944656491279602, 0.9408397078514099, 0.944656491279602, 0.9408397078514099, 0.9408397078514099, 0.9561068415641785, 0.9561068415641785, 0.9465649127960205]","[0.8849557638168335, 0.769911527633667, 0.9203540086746216, 0.8672566413879395, 0.8584070801734924, 0.8672566413879395, 0.9026548862457275, 0.9026548862457275, 0.8938053250312805, 0.9115044474601746, 0.9203540086746216, 0.8849557638168335, 0.9115044474601746, 0.9203540086746216, 0.9115044474601746]","[0.641188383102417, 0.34509414434432983, 0.2313934713602066, 0.17522211372852325, 0.2613835334777832, 0.21761290729045868, 0.2017955780029297, 0.1337648332118988, 0.15042340755462646, 0.13925237953662872, 0.14918865263462067, 0.17093123495578766, 0.12216924875974655, 0.10885072499513626, 0.1302209496498108]","[0.46598413586616516, 0.5127331614494324, 0.1928090751171112, 0.30250483751296997, 0.28561675548553467, 0.3602687120437622, 0.19709308445453644, 0.1799192577600479, 0.24815046787261963, 0.18492121994495392, 0.17978233098983765, 0.37003475427627563, 0.17785391211509705, 0.25632190704345703, 0.16860829293727875]",0.8732394576072693,0.27493539452552795
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5610687136650085, 0.8015267252922058, 0.8816794157028198, 0.9103053212165833, 0.9122137427330017, 0.9160305261611938, 0.9255725145339966, 0.9561068415641785, 0.9465649127960205, 0.9484732747077942, 0.9541984796524048, 0.9561068415641785, 0.9713740348815918, 0.9751908183097839, 0.9618320465087891]","[0.752212405204773, 0.9292035102844238, 0.9469026327133179, 0.9292035102844238, 0.9557521939277649, 0.9557521939277649, 0.9734513163566589, 0.9203540086746216, 0.9292035102844238, 0.9646017551422119, 0.982300877571106, 0.982300877571106, 0.9380530714988708, 0.9469026327133179, 0.9734513163566589]","[0.6608738303184509, 0.44575801491737366, 0.3248051404953003, 0.22662745416164398, 0.21530340611934662, 0.18518172204494476, 0.19286862015724182, 0.12730877101421356, 0.14111891388893127, 0.14172866940498352, 0.1362701803445816, 0.11161566525697708, 0.08204219490289688, 0.0816686749458313, 0.10777829587459564]","[0.5647417902946472, 0.22787562012672424, 0.19100821018218994, 0.22605781257152557, 0.12997470796108246, 0.10335677862167358, 0.09233154356479645, 0.14277102053165436, 0.22859667241573334, 0.07373224943876266, 0.08879386633634567, 0.06884831935167313, 0.16184906661510468, 0.10067806392908096, 0.07899440824985504]",0.9436619877815247,0.16104692220687866
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.597328245639801, 0.8874045610427856, 0.9541984796524048, 0.9522900581359863, 0.9484732747077942, 0.9580152630805969, 0.9141221642494202, 0.9580152630805969, 0.982824444770813, 0.9790076613426208, 0.982824444770813, 0.9942747950553894, 0.9923664331436157, 0.9866412281990051, 0.9961832165718079]","[0.8849557638168335, 0.8938053250312805, 0.9646017551422119, 0.9380530714988708, 0.8407079577445984, 0.9292035102844238, 0.8849557638168335, 0.9557521939277649, 0.9557521939277649, 0.9292035102844238, 0.9292035102844238, 0.8938053250312805, 0.9203540086746216, 0.9115044474601746, 0.9203540086746216]","[0.6153445839881897, 0.3160197138786316, 0.143215611577034, 0.13073177635669708, 0.14072851836681366, 0.1089816614985466, 0.2203024923801422, 0.12817887961864471, 0.055199481546878815, 0.06468670815229416, 0.05723922327160835, 0.03752397745847702, 0.04047907516360283, 0.039504267275333405, 0.02835705876350403]","[0.411460816860199, 0.1942290961742401, 0.1301136165857315, 0.19833019375801086, 0.2890487313270569, 0.16223011910915375, 0.2072986215353012, 0.14366650581359863, 0.2157837301492691, 0.20317214727401733, 0.19777044653892517, 0.3263334333896637, 0.23874934017658234, 0.26927265524864197, 0.26874253153800964]",0.9577465057373047,0.1440349519252777
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.6311787366867065, 0.8631178736686707, 0.9505703449249268, 0.9391635060310364, 0.9429658055305481, 0.9600760340690613, 0.963878333568573, 0.9714828729629517, 0.9657794833183289, 0.9562737345695496, 0.9847908616065979, 0.9923954606056213, 0.9942965507507324, 0.9885931611061096, 0.9942965507507324]","[0.8407079577445984, 0.9203540086746216, 0.9557521939277649, 0.9203540086746216, 0.9646017551422119, 0.9557521939277649, 0.8761062026023865, 0.9646017551422119, 0.9115044474601746, 0.9380530714988708, 0.9646017551422119, 0.9469026327133179, 0.9026548862457275, 0.9292035102844238, 0.9292035102844238]","[0.6182170510292053, 0.30437538027763367, 0.1294880509376526, 0.13291487097740173, 0.15125493705272675, 0.10258572548627853, 0.091884545981884, 0.07884862273931503, 0.10654589533805847, 0.11496691405773163, 0.057300031185150146, 0.03979789465665817, 0.026865897700190544, 0.04209523648023605, 0.029869358986616135]","[0.39044472575187683, 0.17187297344207764, 0.11204221844673157, 0.22041954100131989, 0.12629525363445282, 0.12255771458148956, 0.31340402364730835, 0.1327638179063797, 0.17281517386436462, 0.15151822566986084, 0.15750275552272797, 0.14089801907539368, 0.38158363103866577, 0.15034525096416473, 0.226201593875885]",0.9718309640884399,0.13467466831207275
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.6159695982933044, 0.8231939077377319, 0.9144486784934998, 0.9391635060310364, 0.9543726444244385, 0.9410646557807922, 0.9505703449249268, 0.9486691951751709, 0.9676806330680847, 0.8840304017066956, 0.9429658055305481, 0.9410646557807922, 0.9790874719619751, 0.982889711856842, 0.9942965507507324]","[0.778761088848114, 0.8761062026023865, 0.9734513163566589, 0.9557521939277649, 0.8407079577445984, 0.8672566413879395, 0.9557521939277649, 0.9469026327133179, 0.9469026327133179, 0.9734513163566589, 0.9469026327133179, 0.9646017551422119, 0.9734513163566589, 0.982300877571106, 0.9380530714988708]","[0.635387122631073, 0.44171297550201416, 0.2129448801279068, 0.157769575715065, 0.12844425439834595, 0.15155471861362457, 0.1199716329574585, 0.12951231002807617, 0.07413913309574127, 0.262267529964447, 0.15706248581409454, 0.14071016013622284, 0.06287845224142075, 0.04149241745471954, 0.023705866187810898]","[0.49093371629714966, 0.3040526807308197, 0.11077561229467392, 0.1294730305671692, 0.31748345494270325, 0.36893942952156067, 0.13260355591773987, 0.15808460116386414, 0.1520424336194992, 0.13516758382320404, 0.15968745946884155, 0.13359978795051575, 0.1409439891576767, 0.12740802764892578, 0.21598118543624878]",0.9436619877815247,0.16029304265975952
