"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.4984756112098694, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.577464759349823, 0.577464759349823, 0.577464759349823, 0.577464759349823, 0.577464759349823, 0.577464759349823, 0.577464759349823, 0.577464759349823, 0.577464759349823, 0.577464759349823]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5, 0.478658527135849, 0.5, 0.49390244483947754, 0.48628050088882446, 0.5, 0.5, 0.47560974955558777, 0.4771341383457184, 0.4801829159259796]","[0.577464759349823, 0.577464759349823, 0.577464759349823, 0.577464759349823, 0.577464759349823, 0.577464759349823, 0.39436620473861694, 0.577464759349823, 0.577464759349823, 0.577464759349823]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5381097793579102, 0.49695122241973877, 0.4695121943950653, 0.47560974955558777, 0.4908536672592163, 0.47560974955558777, 0.4695121943950653, 0.4908536672592163, 0.5030487775802612, 0.4893292784690857]","[0.41843971610069275, 0.41843971610069275, 0.41843971610069275, 0.41843971610069275, 0.5815602540969849, 0.41843971610069275, 0.41843971610069275, 0.5815602540969849, 0.41843971610069275, 0.41843971610069275]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.4771341383457184, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5815602540969849, 0.5815602540969849, 0.5815602540969849, 0.5815602540969849, 0.5815602540969849, 0.5815602540969849, 0.5815602540969849, 0.5815602540969849, 0.5815602540969849, 0.5815602540969849]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.37042683362960815, 0.5975610017776489, 0.6356707215309143, 0.519817054271698, 0.5, 0.5213414430618286, 0.5731707215309143, 0.5899389982223511, 0.5015243887901306, 0.5]","[0.304964542388916, 0.8014184236526489, 0.5815602540969849, 0.5815602540969849, 0.5957446694374084, 0.5815602540969849, 0.41843971610069275, 0.5815602540969849, 0.588652491569519, 0.6170212626457214]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.6204268336296082, 0.7896341681480408, 0.9070122241973877, 0.9329268336296082, 0.957317054271698, 0.9588414430618286, 0.9649389982223511, 0.9664633870124817, 0.9878048896789551, 0.9939024448394775]","[0.7464788556098938, 0.8309859037399292, 0.8732394576072693, 0.8661971688270569, 0.8873239159584045, 0.8873239159584045, 0.8661971688270569, 0.8450704216957092, 0.8239436745643616, 0.8802816867828369]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.6280487775802612, 0.7454268336296082, 0.8414633870124817, 0.8612805008888245, 0.8780487775802612, 0.9115853905677795, 0.9435975551605225, 0.9740853905677795, 0.9862805008888245, 0.9954268336296082]","[0.4225352108478546, 0.5211267471313477, 0.7183098793029785, 0.7394366264343262, 0.7887324094772339, 0.7676056623458862, 0.7323943376541138, 0.7605633735656738, 0.7676056623458862, 0.7605633735656738]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5899389982223511, 0.7774389982223511, 0.8003048896789551, 0.8689024448394775, 0.8841463327407837, 0.9283536672592163, 0.9466463327407837, 0.9664633870124817, 0.9878048896789551, 0.9923780560493469]","[0.7304964661598206, 0.8226950168609619, 0.8723404407501221, 0.8368794322013855, 0.8439716100692749, 0.8297872543334961, 0.8439716100692749, 0.8156028389930725, 0.8014184236526489, 0.8156028389930725]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5487805008888245, 0.7713414430618286, 0.8704268336296082, 0.8841463327407837, 0.9375, 0.9527438879013062, 0.9420731663703918, 0.9451219439506531, 0.9771341681480408, 0.9923780560493469]","[0.7730496525764465, 0.8652482032775879, 0.9007092118263245, 0.8865247964859009, 0.9007092118263245, 0.8794326186180115, 0.8794326186180115, 0.8865247964859009, 0.8865247964859009, 0.9078013896942139]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5304877758026123, 0.7408536672592163, 0.8307926654815674, 0.7957317233085632, 0.875, 0.9222561120986938, 0.9451219439506531, 0.9771341681480408, 0.9832317233085632, 0.9923780560493469]","[0.41843971610069275, 0.8865247964859009, 0.8794326186180115, 0.8156028389930725, 0.8581560254096985, 0.7517730593681335, 0.7872340679168701, 0.8226950168609619, 0.8085106611251831, 0.8156028389930725]"
