"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.4945652186870575, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5645161271095276, 0.47311827540397644, 0.5376344323158264, 0.5215053558349609, 0.5268816947937012, 0.5215053558349609, 0.5107526779174805, 0.5, 0.5053763389587402, 0.5053763389587402]","[0.5161290168762207, 0.7096773982048035, 0.5483871102333069, 0.32258063554763794, 0.6451612710952759, 0.6451612710952759, 0.25806450843811035, 0.25806450843811035, 0.25806450843811035, 0.25806450843811035]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.47311827540397644, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.23333333432674408, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5913978219032288, 0.4838709533214569, 0.47311827540397644, 0.5161290168762207, 0.45698925852775574, 0.5, 0.4784946143627167, 0.5161290168762207, 0.5107526779174805, 0.5107526779174805]","[0.7666666507720947, 0.7666666507720947, 0.2666666805744171, 0.3333333432674408, 0.30000001192092896, 0.2666666805744171, 0.30000001192092896, 0.3333333432674408, 0.6000000238418579, 0.23333333432674408]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5215053558349609, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.46739131212234497, 0.44565218687057495, 0.4945652186870575, 0.52173912525177, 0.5163043737411499, 0.5380434989929199, 0.5380434989929199, 0.5380434989929199, 0.4836956560611725, 0.554347813129425]","[0.22580644488334656, 0.774193525314331, 0.22580644488334656, 0.22580644488334656, 0.22580644488334656, 0.22580644488334656, 0.22580644488334656, 0.22580644488334656, 0.7419354915618896, 0.25806450843811035]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5215053558349609, 0.44086021184921265, 0.7150537371635437, 0.8602150678634644, 0.9516128897666931, 0.8548387289047241, 0.9677419066429138, 0.9784946441650391, 1.0, 1.0]","[0.25806450843811035, 0.25806450843811035, 0.5806451439857483, 0.6774193644523621, 0.3870967626571655, 0.5806451439857483, 0.6129032373428345, 0.6129032373428345, 0.7096773982048035, 0.6129032373428345]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.4677419364452362, 0.48924732208251953, 0.5591397881507874, 0.5107526779174805, 0.6612903475761414, 0.698924720287323, 0.7903226017951965, 0.8655914068222046, 0.8817204236984253, 0.8333333134651184]","[0.7666666507720947, 0.7666666507720947, 0.2666666805744171, 0.7666666507720947, 0.5333333611488342, 0.6333333253860474, 0.6333333253860474, 0.5666666626930237, 0.6333333253860474, 0.6666666865348816]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5268816947937012, 0.5, 0.5591397881507874, 0.698924720287323, 0.8709677457809448, 0.9139785170555115, 0.9677419066429138, 0.9892473220825195, 1.0, 1.0]","[0.23333333432674408, 0.36666667461395264, 0.7666666507720947, 0.6000000238418579, 0.4333333373069763, 0.7666666507720947, 0.7666666507720947, 0.7333333492279053, 0.800000011920929, 0.6333333253860474]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.48924732208251953, 0.5161290168762207, 0.774193525314331, 0.7634408473968506, 0.8870967626571655, 0.9301075339317322, 0.9731183052062988, 1.0, 1.0, 1.0]","[0.7666666507720947, 0.800000011920929, 0.7666666507720947, 0.7666666507720947, 0.800000011920929, 0.699999988079071, 0.6333333253860474, 0.699999988079071, 0.699999988079071, 0.6666666865348816]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5869565010070801, 0.5271739363670349, 0.554347813129425, 0.47826087474823, 0.66847825050354, 0.5597826242446899, 0.7228260636329651, 0.8586956262588501, 0.70652174949646, 0.54347825050354]","[0.774193525314331, 0.774193525314331, 0.22580644488334656, 0.4516128897666931, 0.774193525314331, 0.774193525314331, 0.6129032373428345, 0.29032257199287415, 0.22580644488334656, 0.774193525314331]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5430107712745667, 0.5645161271095276, 0.5483871102333069, 0.6451612710952759, 0.4784946143627167, 0.8064516186714172, 0.8817204236984253, 0.9623655676841736, 1.0, 0.5591397881507874]","[0.7419354915618896, 0.25806450843811035, 0.5483871102333069, 0.25806450843811035, 0.7419354915618896, 0.29032257199287415, 0.7096773982048035, 0.6774193644523621, 0.7419354915618896, 0.25806450843811035]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5, 0.5806451439857483, 0.7204301357269287, 0.9569892287254333, 0.8548387289047241, 0.6344085931777954, 0.7365591526031494, 0.9731183052062988, 0.9516128897666931, 0.9946236610412598]","[0.7333333492279053, 0.7333333492279053, 0.7333333492279053, 0.7333333492279053, 0.7333333492279053, 0.23333333432674408, 0.699999988079071, 0.6000000238418579, 0.7333333492279053, 0.36666667461395264]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.4462365508079529, 0.47311827540397644, 0.5053763389587402, 0.7096773982048035, 0.7634408473968506, 0.7365591526031494, 0.4462365508079529, 0.5483871102333069, 0.7365591526031494, 0.7526881694793701]","[0.23333333432674408, 0.23333333432674408, 0.7666666507720947, 0.699999988079071, 0.7666666507720947, 0.23333333432674408, 0.7666666507720947, 0.800000011920929, 0.7666666507720947, 0.23333333432674408]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5430107712745667, 0.48924732208251953, 0.49462366104125977, 0.6397849321365356, 0.5268816947937012, 0.5645161271095276, 0.5268816947937012, 0.602150559425354, 0.6559139490127563, 0.6451612710952759]","[0.23333333432674408, 0.23333333432674408, 0.7333333492279053, 0.7666666507720947, 0.46666666865348816, 0.7666666507720947, 0.7666666507720947, 0.7333333492279053, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 3, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.489130437374115, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331]"
"{'nol': 3, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5107526779174805, 0.47311827540397644, 0.5215053558349609, 0.5161290168762207, 0.46236559748649597, 0.5161290168762207, 0.5268816947937012, 0.5376344323158264, 0.5591397881507874, 0.5752688050270081]","[0.25806450843811035, 0.5483871102333069, 0.4516128897666931, 0.29032257199287415, 0.5483871102333069, 0.4838709533214569, 0.4193548262119293, 0.4516128897666931, 0.4193548262119293, 0.5483871102333069]"
"{'nol': 3, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5322580933570862, 0.5, 0.5, 0.5322580933570862, 0.5322580933570862, 0.5430107712745667, 0.5268816947937012, 0.5107526779174805, 0.5698924660682678, 0.5860214829444885]","[0.23333333432674408, 0.23333333432674408, 0.2666666805744171, 0.36666667461395264, 0.36666667461395264, 0.30000001192092896, 0.23333333432674408, 0.23333333432674408, 0.6333333253860474, 0.6666666865348816]"
"{'nol': 3, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5537634491920471, 0.4462365508079529, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.23333333432674408, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 3, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5, 0.4677419364452362, 0.4838709533214569, 0.4784946143627167, 0.4784946143627167, 0.47311827540397644, 0.4838709533214569, 0.48924732208251953, 0.48924732208251953, 0.46236559748649597]","[0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947]"
