"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.4586776793003082, 0.44628098607063293, 0.5247933864593506, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.5666666626930237, 0.6000000238418579, 0.5333333611488342, 0.5333333611488342, 0.5333333611488342, 0.5333333611488342, 0.5333333611488342, 0.5333333611488342, 0.5333333611488342, 0.5333333611488342]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5163934230804443, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.4549180269241333]","[0.508474588394165, 0.508474588394165, 0.508474588394165, 0.508474588394165, 0.508474588394165, 0.508474588394165, 0.508474588394165, 0.508474588394165, 0.508474588394165, 0.508474588394165]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5081967115402222, 0.5122950673103333, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.508474588394165, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.48770493268966675, 0.5, 0.5, 0.5, 0.5, 0.5, 0.4713114798069, 0.48770493268966675, 0.5081967115402222, 0.4508196711540222]","[0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.508474588394165, 0.508474588394165, 0.508474588394165, 0.49152541160583496, 0.508474588394165]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.56611567735672, 0.4752066135406494, 0.6157024502754211, 0.5619834661483765, 0.5785123705863953, 0.8099173307418823, 0.8925619721412659, 0.9380165338516235, 0.8760330677032471, 0.913223147392273]","[0.5166666507720947, 0.44999998807907104, 0.550000011920929, 0.4833333194255829, 0.46666666865348816, 0.4333333373069763, 0.4000000059604645, 0.5, 0.550000011920929, 0.4833333194255829]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.46694216132164, 0.5413222908973694, 0.6735537052154541, 0.8305785059928894, 0.8925619721412659, 0.9628099203109741, 0.9958677887916565, 1.0, 1.0, 1.0]","[0.4833333194255829, 0.4833333194255829, 0.6000000238418579, 0.5166666507720947, 0.5333333611488342, 0.4833333194255829, 0.5, 0.5, 0.550000011920929, 0.44999998807907104]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.43852460384368896, 0.4836065471172333, 0.5778688788414001, 0.6762295365333557, 0.7213114500045776, 0.8401639461517334, 0.8401639461517334, 0.8975409865379333, 0.9508196711540222, 0.9795082211494446]","[0.49152541160583496, 0.49152541160583496, 0.6440678238868713, 0.5932203531265259, 0.694915235042572, 0.5762711763381958, 0.47457626461982727, 0.508474588394165, 0.5254237055778503, 0.5254237055778503]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.4754098355770111, 0.4344262182712555, 0.46721312403678894, 0.5, 0.5286885499954224, 0.5122950673103333, 0.5696721076965332, 0.5245901346206665, 0.5163934230804443, 0.5368852615356445]","[0.49152541160583496, 0.49152541160583496, 0.508474588394165, 0.508474588394165, 0.5593220591545105, 0.6271186470985413, 0.5932203531265259, 0.5254237055778503, 0.5762711763381958, 0.5423728823661804]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5204917788505554, 0.5122950673103333, 0.5532786846160889, 0.6434426307678223, 0.6229507923126221, 0.7581967115402222, 0.8073770403862, 0.8442623019218445, 0.8975409865379333, 0.9139344096183777]","[0.508474588394165, 0.49152541160583496, 0.5932203531265259, 0.5593220591545105, 0.5423728823661804, 0.47457626461982727, 0.5423728823661804, 0.4067796468734741, 0.5254237055778503, 0.47457626461982727]"
