"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.43388429284095764, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5165289044380188, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5040983557701111, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.48770493268966675, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496, 0.49152541160583496]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5165289044380188, 0.6404958963394165, 0.7066115736961365, 0.8016529083251953, 0.8471074104309082, 0.9256198406219482, 0.9297520518302917, 0.9876033067703247, 1.0, 0.9958677887916565]","[0.6000000238418579, 0.6833333373069763, 0.699999988079071, 0.5833333134651184, 0.6333333253860474, 0.6499999761581421, 0.6000000238418579, 0.6166666746139526, 0.6166666746139526, 0.6166666746139526]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5537189841270447, 0.6900826692581177, 0.7727272510528564, 0.8223140239715576, 0.9297520518302917, 0.9214876294136047, 0.9628099203109741, 0.9710744023323059, 0.9876033067703247, 1.0]","[0.6333333253860474, 0.5833333134651184, 0.6333333253860474, 0.5666666626930237, 0.6499999761581421, 0.6333333253860474, 0.6499999761581421, 0.6333333253860474, 0.6499999761581421, 0.6166666746139526]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5532786846160889, 0.6434426307678223, 0.75, 0.7704917788505554, 0.8647540807723999, 0.9467213153839111, 0.9877049326896667, 1.0, 1.0, 1.0]","[0.6440678238868713, 0.7457627058029175, 0.6101694703102112, 0.694915235042572, 0.6610169410705566, 0.694915235042572, 0.7288135886192322, 0.7118644118309021, 0.6779661178588867, 0.7457627058029175]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5983606576919556, 0.7254098653793335, 0.688524603843689, 0.7540983557701111, 0.8237704634666443, 0.7663934230804443, 0.8729507923126221, 0.9057376980781555, 0.9467213153839111, 0.9795082211494446]","[0.5593220591545105, 0.6101694703102112, 0.6271186470985413, 0.5762711763381958, 0.6271186470985413, 0.694915235042572, 0.6610169410705566, 0.6440678238868713, 0.6101694703102112, 0.6440678238868713]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5819672346115112, 0.6024590134620667, 0.7581967115402222, 0.7991803288459778, 0.8401639461517334, 0.868852436542511, 0.9549180269241333, 0.9426229596138, 0.9795082211494446, 0.9918032884597778]","[0.5762711763381958, 0.6779661178588867, 0.6779661178588867, 0.5762711763381958, 0.6271186470985413, 0.7118644118309021, 0.7118644118309021, 0.6610169410705566, 0.6610169410705566, 0.6779661178588867]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.557851254940033, 0.6652892827987671, 0.6611570119857788, 0.6900826692581177, 0.7644628286361694, 0.8181818127632141, 0.7603305578231812, 0.9297520518302917, 0.9834710955619812, 0.8140496015548706]","[0.7333333492279053, 0.6666666865348816, 0.6666666865348816, 0.4833333194255829, 0.6333333253860474, 0.6499999761581421, 0.6333333253860474, 0.6166666746139526, 0.5666666626930237, 0.7333333492279053]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.4834710657596588, 0.6198347210884094, 0.64462810754776, 0.6652892827987671, 0.7561983466148376, 0.8181818127632141, 0.8181818127632141, 0.913223147392273, 0.8760330677032471, 0.7809917330741882]","[0.5833333134651184, 0.5666666626930237, 0.7333333492279053, 0.5833333134651184, 0.6499999761581421, 0.6333333253860474, 0.6833333373069763, 0.6499999761581421, 0.6166666746139526, 0.6333333253860474]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5081967115402222, 0.6557376980781555, 0.6803278923034668, 0.6803278923034668, 0.5696721076965332, 0.7827869057655334, 0.7377049326896667, 0.8319672346115112, 0.8934426307678223, 0.8729507923126221]","[0.6779661178588867, 0.694915235042572, 0.6779661178588867, 0.6271186470985413, 0.694915235042572, 0.5254237055778503, 0.6779661178588867, 0.6101694703102112, 0.6440678238868713, 0.508474588394165]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.561475396156311, 0.6024590134620667, 0.6598360538482666, 0.6803278923034668, 0.8155737519264221, 0.8278688788414001, 0.811475396156311, 0.8893442749977112, 0.9262295365333557, 0.9590163826942444]","[0.6440678238868713, 0.49152541160583496, 0.6779661178588867, 0.7457627058029175, 0.5593220591545105, 0.694915235042572, 0.7118644118309021, 0.7118644118309021, 0.7118644118309021, 0.6610169410705566]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.5245901346206665, 0.5409836173057556, 0.6844262480735779, 0.7622950673103333, 0.7581967115402222, 0.7459016442298889, 0.7991803288459778, 0.8606557250022888, 0.8729507923126221, 0.8278688788414001]","[0.49152541160583496, 0.5423728823661804, 0.7118644118309021, 0.5762711763381958, 0.6779661178588867, 0.7118644118309021, 0.6610169410705566, 0.694915235042572, 0.6779661178588867, 0.5762711763381958]"
"{'nol': 3, 'nod': 3, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5123966932296753, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829, 0.4833333194255829]"
