"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.4945652186870575, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331, 0.774193525314331]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.48924732208251953, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.25806450843811035, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896, 0.7419354915618896]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5215053558349609, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5322580933570862, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947, 0.7666666507720947]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.54347825050354, 0.679347813129425, 0.77173912525177, 0.89673912525177, 0.95652174949646, 0.9945651888847351, 1.0, 1.0, 1.0, 1.0]","[0.32258063554763794, 0.4838709533214569, 0.6451612710952759, 0.6451612710952759, 0.6774193644523621, 0.7096773982048035, 0.6451612710952759, 0.6451612710952759, 0.6451612710952759, 0.6451612710952759]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5430107712745667, 0.6129032373428345, 0.6720430254936218, 0.7311828136444092, 0.801075279712677, 0.8548387289047241, 0.9247311949729919, 0.9677419066429138, 0.9784946441650391, 0.9892473220825195]","[0.6451612710952759, 0.3870967626571655, 0.6774193644523621, 0.35483869910240173, 0.7096773982048035, 0.774193525314331, 0.6774193644523621, 0.6774193644523621, 0.774193525314331, 0.7419354915618896]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.48924732208251953, 0.5860214829444885, 0.6827957034111023, 0.6397849321365356, 0.7634408473968506, 0.8494623899459839, 0.9193548560142517, 0.9731183052062988, 1.0, 1.0]","[0.7666666507720947, 0.3333333432674408, 0.7666666507720947, 0.5333333611488342, 0.4333333373069763, 0.6333333253860474, 0.5, 0.7333333492279053, 0.7333333492279053, 0.7333333492279053]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5, 0.602150559425354, 0.7043010592460632, 0.7688171863555908, 0.8763440847396851, 0.9247311949729919, 0.9838709831237793, 0.9784946441650391, 1.0, 1.0]","[0.4000000059604645, 0.800000011920929, 0.6333333253860474, 0.7333333492279053, 0.800000011920929, 0.800000011920929, 0.7666666507720947, 0.7333333492279053, 0.800000011920929, 0.800000011920929]"
"{'nol': 3, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.4462365508079529, 0.6612903475761414, 0.6559139490127563, 0.774193525314331, 0.8118279576301575, 0.8172042965888977, 0.9032257795333862, 0.9193548560142517, 0.9516128897666931, 0.9892473220825195]","[0.46666666865348816, 0.4333333373069763, 0.6666666865348816, 0.7333333492279053, 0.5666666626930237, 0.8666666746139526, 0.6000000238418579, 0.8333333134651184, 0.800000011920929, 0.699999988079071]"
