id,t_min,t_max
1087,26.4,58.5
1088,40.8,63.8
1089,31.7,48.1
1091,32.8,60.3
1093,31.8,38.0
1099,34.4,67.8
1101,31.0,98.6
1103,33.6,93.1
1111,49.2,76.0
1112,31.5,42.1
1113,33.2,59.0
1115,32.8,66.6
1116,35.0,45.9
1118,37.2,77.9
1119,30.0,112.3
1121,32.3,133.1
1124,30.6,65.2
1126,26.3,68.9
1131,31.3,60.5
1132,25.2,29.1
1133,23.9,60.8
1134,22.9,47.1
1137,34.6,118.2
1138,25.4,33.6
1140,42.3,102.7
1142,39.1,79.8
1143,37.6,101.3
1146,24.1,125.6
1148,37.3,86.5
1149,32.9,56.4
1150,34.7,66.5
1153,42.0,62.2
1154,32.0,39.6
1158,29.0,58.2
1160,36.2,41.6
1161,20.6,46.1
1163,30.9,103.5
1165,36.6,70.7
1167,25.8,51.9
1171,32.3,89.2
1175,25.4,40.2
1176,27.1,44.4
1178,31.6,91.5
1179,23.4,35.1
1181,34.7,62.3
1182,12.5,40.8
1184,31.5,51.0
1188,25.7,66.0
1190,30.4,56.7
1192,28.7,45.4
1198,26.4,76.4
1201,41.0,141.2
1205,30.0,71.6
1207,26.4,44.9
1209,51.1,117.6
1212,37.0,112.3
1217,21.9,38.7
1218,25.5,50.1
1219,22.9,45.6
1220,30.7,71.1
1223,36.6,58.9
1226,28.2,49.8
1227,40.8,88.6
1228,40.1,71.3
1229,27.7,52.2
1230,28.6,96.3
1236,28.0,66.8
1248,25.9,58.0
1249,28.1,70.5
1253,32.0,49.8
1254,30.1,95.0
1256,31.7,94.4
1257,46.6,95.9
1258,28.4,86.2
1259,24.3,55.7
1264,37.5,74.4
1267,33.3,110.7
1269,32.8,97.5
1271,24.9,54.5
1272,34.7,56.7
1276,33.9,58.3
1277,30.5,124.9
1279,31.8,79.4
1283,42.2,95.5
1288,37.4,66.0
1290,38.8,97.0
1292,32.0,57.3
1294,29.7,83.9
1295,28.5,94.4
1296,29.5,90.6
1297,48.1,95.5
1298,44.3,88.5
1304,27.7,52.8
1305,29.8,83.8
1306,24.2,27.0
1312,33.2,70.1
1314,29.7,56.5
1315,30.8,90.3
1317,31.3,76.6
1318,31.6,71.0
1319,26.2,49.5
1326,27.2,55.6
1332,33.3,57.6
1335,34.5,72.2
1337,46.0,91.9
1340,41.7,136.1
1341,27.8,33.8
1342,21.6,40.6
1343,25.9,55.8
1344,35.6,81.4
1346,34.7,113.9
1351,33.1,136.6
1352,51.9,112.0
1353,24.7,50.1
1354,38.8,121.4
1355,35.5,69.3
1359,26.5,53.6
1361,31.7,70.9
1365,32.1,35.0
1370,41.5,100.3
1373,32.7,53.8
1377,23.2,58.3
1379,32.0,121.0
1380,33.1,70.5
1383,23.8,51.9
