"{'nol': 10, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5107758641242981, 0.5010775923728943, 0.5474137663841248, 0.5226293206214905, 0.5258620977401733]","[0.2697368562221527, 0.2368421107530594, 0.2368421107530594, 0.32894736528396606, 0.28947368264198303]"
"{'nol': 10, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.517241358757019, 0.5075430870056152, 0.5635775923728943, 0.5711206793785095, 0.5711206793785095]","[0.2368421107530594, 0.7434210777282715, 0.2368421107530594, 0.31578946113586426, 0.8026315569877625]"
"{'nol': 10, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5043103694915771, 0.537715494632721, 0.5495689511299133, 0.5344827771186829, 0.576508641242981]","[0.2434210479259491, 0.7763158082962036, 0.2368421107530594, 0.6776315569877625, 0.5592105388641357]"
"{'nol': 10, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.5301724076271057, 0.537715494632721, 0.5732758641242981, 0.5129310488700867, 0.5096982717514038]","[0.2368421107530594, 0.2763157784938812, 0.6710526347160339, 0.7631579041481018, 0.7828947305679321]"
"{'nol': 10, 'nod': 2, 'af': 'relu', 'op': 'sgd', 'lo': 'binary_crossentropy'}","[0.4903017282485962, 0.4989224076271057, 0.5237069129943848, 0.5614224076271057, 0.5603448152542114]","[0.2368421107530594, 0.2368421107530594, 0.2368421107530594, 0.7631579041481018, 0.2434210479259491]"
"{'nol': 10, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.48275861144065857, 0.5, 0.5086206793785095, 0.5, 0.5]","[0.7631579041481018, 0.7631579041481018, 0.2368421107530594, 0.2368421107530594, 0.2368421107530594]"
"{'nol': 10, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5290948152542114, 0.610991358757019, 0.7456896305084229, 0.8351293206214905, 0.9148706793785095]","[0.5197368264198303, 0.8092105388641357, 0.8881579041481018, 0.7697368264198303, 0.9407894611358643]"
"{'nol': 10, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.4903017282485962, 0.5, 0.5, 0.5, 0.4913793206214905]","[0.7631579041481018, 0.7631579041481018, 0.7631579041481018, 0.7631579041481018, 0.2368421107530594]"
"{'nol': 10, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.5, 0.5204741358757019, 0.53125, 0.5107758641242981, 0.5495689511299133]","[0.2368421107530594, 0.40789473056793213, 0.7631579041481018, 0.75, 0.5460526347160339]"
"{'nol': 10, 'nod': 2, 'af': 'relu', 'op': 'adam', 'lo': 'binary_crossentropy'}","[0.48383620381355286, 0.5129310488700867, 0.49568966031074524, 0.506465494632721, 0.5721982717514038]","[0.75, 0.7631579041481018, 0.2368421107530594, 0.7631579041481018, 0.75]"
"{'nol': 10, 'nod': 2, 'af': 'relu', 'op': 'rmsprop', 'lo': 'binary_crossentropy'}","[0.514008641242981, 0.5344827771186829, 0.5204741358757019, 0.5043103694915771, 0.5528017282485962]","[0.2368421107530594, 0.7631579041481018, 0.7631579041481018, 0.7828947305679321, 0.7565789222717285]"
